,user,tweet,location,keyword
51,sunny ⁷ 💫🦕 POC SKZ GC IN MY PINNED 📌,@GenderBegone i'm down to commit arson,♡chazy,arson
52,Kenn,"@NBCNightlyNews @RonAllenNBC Protests? Sticking with protests, huh? Not looting? Not arson? Not murder? Just a bunch of ""peaceful protesting""?","Toledo, OH",arson
53,randy atkinson,"Civil Unrest, Looting, Rioting &amp; Arson https://t.co/azruRPLwjp via @YouTube",,arson
54,feverdream🎃⛓️ ᵈᵒᵒᵗ ᵈᵒᵒᵗ,@TURBULENTUKLIVE let's commit arson one day &lt;3  :),up ur ass,arson
55,Unsalted Truth,"@realDonaldTrump  Ballot drop box in LA County set on fire, prompting arson investigation https://t.co/4T0wvssq8A #FoxNews",United States,arson
56,BWH,"On the one hand, the proposition is pure racial arson that promises to damage all of California’s institutions.

ON THE OTHER HAND.... I’m Mexican. Now hand it over, whitey. https://t.co/S3WzfJP99s","California, USA",arson
57,FREE LOEY,@bisexualsukai Im going to commit arson,,arson
58,☆ banzai ☆,@tadatonin 🥯 commit arson,New Zealand,arson
59,cedie,sometimes arson is okay 😙,she/her,arson
60,Cadence⁶⁹|| La Jolla,Arson Istg you have my post notifications on- if you like this tweet as soon as it goes out-,,arson
61,joy ⨟ 🍊,i will actually comm!t arson,"i hate listening to men who aren’t moon taeil speak, just write down your thoughts or something 🙄",arson
62,🎃 starshine 🎃,@neon_taxicab i love you arson, 𖤐 𝘸𝘰𝘯𝘥𝘦𝘳𝘭𝘢𝘯𝘥 𖤐,arson
63,Vinylfan,"@simbatopcat @marklevinshow You should read the article. The burning you have depicted is just as likely to have been caused by right wing extremists as in Minneapolis. I may have missed it, but, I am not aware of any prosecutions involving coordinated arson attacks by BLM or antifa groups. Barr would know.",,arson
64,lmao,"Unpopular opinion:I’ve done many crimes including arson,illegal drugs,etc🥶🥶😈😈🔫🔫‼️‼️‼️

(J0ke)",,arson
65,Conservative Lady,"@Timcast @DrKarlynB Why ""platform"" someone who thrives on violence, socialism, &amp; Marxism while condoning arson, theft, assaults, &amp; terrorism. Freedom of speech &amp; unbiased thinking are important. But... would you platform N. Maduro to be ""fair""? Stalin? Mussolini? 

No time for PC &amp; being ""woke"".",,arson
66,Arson Lively,"Funny Quote of the Day: ""All men are equal before fish."" - Herbert Hoover","houston,tx",arson
67,highonesketttit,When your crackhead friend takes a break from committing arson to check if you're OK 👉👈,,arson
68,꒦꒷꒦🩸crimson🩸꒦꒷꒦,I WANT TO COMMIT ARSON BUT I ALSO DONT WANT TO BE IN PRISON,,arson
69,soph🍜,my whole tl is just presley nate and arson😭😭😭,she/they,arson
70,Emma,"I, for one, would like to return to vintage feminism.

arson-based praxis is highly underrated u know.",,arson
71,Blake Flayton,911 I’d like to report arson  https://t.co/9CNnCtwwTD,Judea,arson
72,♤H3L31N4.,"I wanna commit arson, LMAO 😀 ANYWAYS STRAWBERRY DRESS ERET SUPREMACY, I’M NOT DONE YET (THIS IS JUST THE SKETCH) 😨 https://t.co/8Ox1GcyADl",Adoption Center,arson
73,DisNaija,NPA headquarters deserted as insurers assess losses from arson Recent burning and looting of property belonging to the Nigerian Ports Authority (NPA) headquarters have left th https://t.co/fBKsei6pGg,,arson
74,͏ ͏ ͏,"boner
arson
drown

dude I could do all that in a night https://t.co/x9erjXDBs0",,arson
75,𝖚𝖘𝖍𝖚 DAY!!! ✦,@djkeke311_uwu arson,he.they.bun. ‹3,arson
76,Sachin,"@RanaAyyub Riots/ Arson... Is this 100 years of struggle?

That you can't do this?",,arson
77,Samantha Cowan,@fakeHenryC_ Maybe start with some light arson first,,arson
78,Pyro Regisvine,@dvalinposi But can I teach them arson,,arson
79,##Ren⁷ 🇲🇽,???? time to commit arson https://t.co/eLvuvNQYmX,MULTI | she/her | 17,arson
80,fpnicolas,"@alexay__ @Rogerdorsy This is the map of crimes committed in 24 hours in San Francisco for about 3% of our city. You can see several case of vandalism (spray icon). Arson is sadly endemic too (hence the SFPD Arson Task Force https://t.co/Xc56T81CQe). France Grey Wolf = yes, it's worth denouncing [1/2] https://t.co/jfpYfTw590",San Francisco,arson
81,sho,i love my bf (belphiefriend) we met in federal prison and now commit arson together,17 ★ carrd byf,arson
82,rea 🍙,tsukkikage nd atsukage stans on the brink of committing arson raynao,raine,arson
83,FatBoi,Arson drown and grasshoppers?? I don’t like that at all https://t.co/dOujYL85LU,,arson
84,GreatBorn,"@FredTJoseph So your intention is to harm other people’s possessions and safety by means of violence, thievery, and arson to bring attention? What kind of attention? Why would anyone support this? MLK wouldn’t stand for it. Stop being pathetic.","Connecticut, USA",arson
85,VedVyazz,@amogh_astra Hmmm...vandalism and arson have often been an issue wrt law and order breakdown. The social response to covid is international. So are the lockdowns. There are scores of countries that have opted for more stringent rules. But there haven’t been vandalism incidents there...,India,arson
86,Burisma Board Director Cal,"@ClarkInChicago @chancetherapper because the stores getting destroyed didn’t kill anyone, and even then no one is actually mad about a walmart, we are mad at the fact that employees lose their jobs or small businesses are burned down as a result of the looting/arson.","Folsom, CA",arson
87,Chia,"gonna commit arson @ a subway
fuck subway",pfp by dumbslive,arson
88,Mary Magdalen,"@THE_DAILY_BLEAT @KamalaHarris That, &amp; they sure haven’t had citizens’ backs during the rioting, arson, &amp; looting.",Lake Michigan shore,arson
89,perc,thinking about committing arson❣️😛,o block,arson
90,sierra🎃!!! horizon is our qween !!!,arson on all caustics,she/her - main @Z3TH3REAL,arson
91,Arson/Bullet || Xe/Squir/They || 55 days,gn peeps,They / them & Xe / Xem (15yo),arson
92,Dennis Reed,@MrAndyNgo Mostly peaceful arson.,,arson
93,Lamont Jderardome Slinccy,oh my god i need a math tutor my brain has literally liquefied into arson soup,,arson
94,Artemishsh,i am thinking about arson,,arson
95,ella arson,"@LivingWillie @ProjectLincoln @ossoff He did, they cheated. Why didn't you know that?",,arson
96,Phil SB21254246,"@noliberalism20 do U believe this guy @stevesomerswfan on @WFAN660 just said &amp; I quote BLM is a Peaceful Movement! I think I need to take a movement after hearing that.I guess all the Riots,Arson,Looting,Stealing,attacking Cops &amp; having to call in the Nat’l Guard is fake Tv/News?",Garden State,arson
97,phoenix 🧡,@neon_taxicab hi arson :),your mom's bedroom,arson
98,m0m0,Korea better welcome their baddest female back or i'll commit arson again #CL_HWAx5STAR,she/him,arson
99,arson🦇mandy 60,me when anyone calls me arson  🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺 ✨✨✨✨✨✨,hell,arson
100,The African Stand,At least 800 people have been arrested for killings and incidents of arson and looting during #EndSARS protests in #Nigeria. #theafricanstand #africanstand #africanews https://t.co/rzLumgerSD,"New York, US",arson
101,*insert keyboard slam*,@pussycigar sexual-bastard-arson,,arson
102,Will Nuun,@burnera66306849 @Theone2and3 Eww that’s gross it looks like arson waiting to happen. I went to the North Park library and they had some would-be-Bernie voter watching haha,"San Diego, CA",arson
103,BodyCaker,"In case you all forgot, ""peaceful protests"" doesnt involve looting, arson, etc.",,arson
104,Abiodun akintola,"@ovigho @iykimo They are trying too hard to pin the arson and violence that ensued after Lagos state government imposed curfew. If you study the narrative they are trying hard to push, they have blatantly avoided the massacre they orchestrated. Confusion shall strike the enemies!
#EndSARS https://t.co/yDXjICPnRf",Right here,arson
105,lai,@jennadrowning i am about to commit arson :) /lh,,arson
106,warrior.d,Spitfire Wheels: Arson Dept III Kader &amp; Classmates https://t.co/vKT9sMiOr9 @YouTubeより,,arson
107,Deputy Thiccums,“Why would a cop try to arrest a worm??” “Bc I committed arson”,"Reedley, CA",arson
108,Spoop🍁,@BeaverSpit26 that but arson,Penisville America ,arson
109,Mike Johnson,@Actn_jcksn @GeorgeS77571742 Any particular reason you support throwing babies off balconies and arson?,,arson
110,Void_Person,@yaminapp That’s not what arson is but sure,,arson
111,MINJI || 🇰🇷🏳️‍🌈,Damn I kinda want to commit arson today,"Seoul, Republic of Korea",arson
112,lai,@yaminapp @ggneedshelp HELL YEA LET’S COMMIT ARSON TOGETHER,,arson
113,xime⁷ 🌟,IF ANYONE DARES TO SEND ME JINS WAIST I WILL COMMIT ARSON https://t.co/3gcmXqFvDu,she/her || 🇲🇽 || 18,arson
114,Arson/Bullet || Xe/Squir/They || 55 days,"first one: how i look currently
Second one: how i wanna look https://t.co/9gRA6HQXns",They / them & Xe / Xem (15yo),arson
115,alex,@samtrayter it’s so wild. who ARE those people?? also the one dude admitting he’s still under investigation for arson??,boston,arson
116,Izabelle,@ethans_cookie @heapassss well cabin 3A sure does love arson and i am very happy to be burning the cabin this is a dream come true,she/her,arson
117,sky !? support pinned pls!,@DRlNKTHEKOOLAlD charged with arson https://t.co/cK4wbIWCis,she/her 17,arson
118,nyˣ ~positions~,@serenexsiren ARSON??! https://t.co/NMtXiGbalc,she/her,arson
119,WINWIN DAY,id commit arson with a song written easily as bgm,leila’s♡ 🇲🇽 ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀s/h,arson
120,Scott 🇺🇸,"With the Mayhem going on in America with Police Officers being assaulted, the vandalism, looting, arson, etc. I would issue a mandated warning. Anyone involved in these chaotic acts will be shot on site no questions asked. Desperate times call for desperate measures.",,arson
121,ETCISO,ETCISO | German infectious disease agency hit by hackers days before arson attack #DataLeak #SecurityHackers #Vulnerabilities #VaccineControversies #CyberAttack https://t.co/mYkzFxu6Sv,India,arson
122,luke johnson,arson ❤️,Home,arson
123,HAH Y0UR M0M,@ggneedshelp arson,Click→,arson
124,°• Beeh🧡 •°,can someone pls explain why Brazil is involved with arson smp I need to know,she/her | btocgc🇧🇷,arson
125,रघु,"@KapilMishra_IND There was no place for violence and arson in democracy.
#जंगलराज_का_युवराज",India,arson
126,gray/san/nyu 生 jaehyun enjoyer,@DlLFZA I contemplated committing arson again,ASIAN | HE/HIM | 20 Y/O,arson
127,Zack,not saying I'm GOING to commit arson but what if I committed arson?,not actually an anarchist,arson
128,Derek Hellbasket,flickering images of arson and moyda https://t.co/5fFZ594pTx,,arson
129,Brandon,My thoughts are formatted into tweets and I hate it,London ontario,arson
130,alia 🍞,1. tax fraud 2. scams 3. lying to sakuya's character 4. identity theft and probably 5. arson along the way,,arson
131,flint,it's always arson https://t.co/phnWUlExRH,he/them,arson
132,~ Euphoria ~ Hater on 📌 || 💅🏻 || sleeping,"night night &lt;3 hate yall
lets commit arson together",☾ Marrying satan ☁︎,arson
133,♡-19,"@Reuters All because Trump is upset the media is doing its job covering his lies.
These are private companies with their own user policies users adhere to. Simple.
Law &amp; Order!",└A/➏➏➏/⛧/🈵/🏁,arson
134,˗ Teeny ⁷ ˗ 🐷 💤 offline,"ngl the arson smp tweets on the tl are scaring me, gonna log on",,arson
135,Arson/Bullet || Xe/Squir/They || 55 days,"ever have a secret you need to tell, but your scared ppl will leave you for it?",They / them & Xe / Xem (15yo),arson
136,Core24,@Filibuster2020 @DA_LarryKrasner @TheLastWord @Lawrence You thugs dare bring up God in your foolishness? where’s the Godliness in looting and arson? You dont have to love trump to not see the foolishness of the left’s actions. Your boys just burned a Vietnamese baptist church in PHILADELPHIA you call that Godliness and protection?,,arson
137,Cops go to weenie hut jrs,"London: Might just fuck around and name myself Arson

Yuri: Might just fuck around and rename myself after a galaxy again",,arson
138,Yenni⁷ ⟭⟬,@honkgriff You should of committed arson,She/her,arson
139,gaia's voluptuous anvil,"@sarahcpr ""REICHSTAG ARSON EVIDENCE MYSTERIOUSLY VANISHES""
- 1933 Tucker's Chyron
#HistoryIsFun https://t.co/HasTijo2JE",new westminster,arson
140,Rachel Kass,Edit: Clancy Brown as moderator.,,arson
141,r(i)p,wearing this $1500 robe to commit arson https://t.co/3uAQzIBGlT,queens,arson
142,miles ♤★,@acrankygay arson,he they + see pronouny + minor,arson
143,josie🤍 kaylee bryant’s wife,@gwensbean @QuincyFouse so true let’s commit arson,17•pan•she/her•ally💘,arson
144,The Last Individual,"@thehill Rioting, street battles, arson, looting since June all over but fear the ""groups"" that are still sitting on the sidelines for some reason.",Fly-Over Country,arson
145,melody･*★,"i miss the late night divorce streams. the talent show. the constant arson. skeppy’s tantrums. replacing roberto. crafting table jokes. strawberry &amp; blueberry. GUGHGUGH. sleepy bbh. the vacation house. vurb’s weird dungeon. fluffy. buddy. poopy.

i miss the idots smp :(",(nb) any pronouns ,arson
146,Busy,Los Angeles ballots damaged after suspected arson attack on official drop box https://t.co/oYOD7hZQn1,MALAYSIA ,arson
147,T.I.C.K.,"@arson_rat Our name is TICK.
~Violet (also now also known as Rachel lol)",,arson
148,Spoop🍁,arson is the coolest crime,Penisville America ,arson
149,peytn🦇,@100foxys Arson,pain,arson
150,KonanIsMyWife | BLM |,@jampupo I just committed arson~,Yes,arson
151,Dirk,"@JFNYC1 @realDonaldTrump @KamalaHarris All of their ""voters"" are out committing larceny, arson, and generally attempting to murder other citizens.",,arson
152,Roc | Memento Mori,there's so many lgbt people named rachel,they/he/she 🦴 15 🦴 white,arson
153,𝐌𝐨𝐧𝐬𝐢𝐞𝐮𝐫 𝐁𝐨𝐮𝐯𝐚𝐫𝐝,"@jackmurphylive This is quite intolerable.

The police should be doing some shooting.
Looters, to maim
Arson, to kill - as Mayor Daley said.",USA,arson
154,Borderline Memes For Borderline Dreams,"Say what you will about me, but according to the courts the only things I’m guilty of is loving my friends, a fiery passion for the arts, and misdemeanor second degree arson!",,arson
155,rae,@mnsvngies if anyone even thinks about laying a hand on royalty au i will commit arson,i only tweet about skz,arson
156,ThunderPence,@billo_lai @KurtSchlichter @RealSaavedra your cities are burning from arson and looting,MAGA Country,arson
157,Reds are Best,@barbmhofmann @JSIMNS @just_me1928 @Ronald_Spitzer @AOC @FBI @ATFHQ Arson and death threats are FELONIES 🤦‍♀️,"Oregon, USA",arson
158,SignalSCV,A woman accused of starting a brush fire in Newhall earlier this month returned to court Wednesday. https://t.co/Mg1lYsnngT,"Santa Clarita, California",arson
159,👻AverageWeeb🎃,"@xaviervidguy19 Fuck yea, let’s commit some arson and kidnap someone",Lonely ,arson
160,luce ✿,how do u keep romanticizing your life 2 weeks later? i'm bored of pinterest moodboards i want arson now,19 she/her bi Ψ,arson
161,Emma,So... I just spent the last 40 minutes translating the word “arson” to every language.. LMAO,Canada - She/Her,arson
162,🌿🌸Blobfish🐽🌱,i want to do a submission for arson smp but im very intimidated and dont know what to say,they/them,arson
163,Satellite🏳️‍🌈,Thinking about the time I stole Kade Arson’s pencil in 3rd grade,they/them~16,arson
164,Shark (She/Her) - WEAR A MASK - Elmo Cult,"Well depends. tw // murder, arson

.

.

.

.
Arson (Me with friends) or Murder (depends, would have to be with friends, and most likely accomplice because I would be cleaning it up.) https://t.co/ua1ZQqmPBc",L’Manburg or lost somewhere,arson
165,MIAH TEA KENNEDY GRVM PUTIN,And tgat was non exchange for my state belongings and trust. They wouldnt even pay ins on known arson fire or arrest for residential burglary or Rape # my family not guilty,,arson
166,DispensaryEasy,"@SenCoryGardner @forestservice We need to get the Democrats to stop SETTING the fires.
https://t.co/zEHBP1thzY📁
https://t.co/8KBvrvyOvP📁
https://t.co/l30ymp14J4📁
https://t.co/ikNwELg6h3📁
https://t.co/XPJJYcLpM7",United States,arson
167,CdubOSU,"@CoryNBC @nbcwashington Criminal scumbag with a weapon dies? Idiots riot, loot and commit arson, assault and murder then pretend the perp was a hero and good person. Wash. Rinse. Repeat. @KamalaHarris approves.",United States,arson
168,“go go baron bunny!!”,(spoilers) #QIYAN: on my way to commit arson no biggie,art archive is on tumblr,arson
169,Frenchy 🎼,arson. 🔥🔥🔥🔥 https://t.co/jXn0fKNbOi,the planet venus,arson
170,g🐙| POSITIONS,if livs dumb ass doesn’t realize li is into them i stg i’m gonna commit arson,she/her ,arson
171,BluRaccoon,@RollsSucy so would like the arson sex now or later,"Puyallup, WA",arson
172,💞🥰 rose pedal 🥰💞,@ozwigll ofc hun youre like arson to me ❤️🖤🤍,"Uwu, Nigeria",arson
173,💞🥰 apple blossom 🥰💞,@JellyRamp I will let this slide as long as you let me commit arson with you 👀,she/they || 13,arson
174,logan she/her,@motiveluv me be nice or arson,my head,arson
175,Scorpio 222,"@koberpaul1 @marklevinshow And telling people to come down to SF Chinatown? 
De’Blasio did exactly the same thing. Do you realize only about 6% of all deaths are directly related to Wuhan virus? Why didn’t the media condemn the riots, looting, and arson, because the rioters could be out spreading....","Scottsdale, AZ",arson
176,spoopy jyle 🎃 semi ia,feel like committing arson,minor ; she-her ,arson
177,✧･ﾟ:* 𝚊𝚛𝚜𝚘𝚗𝚜 #𝟷 𝚕𝚘𝚟𝚎𝚋𝚘𝚝,kate n arson https://t.co/A3bcGt8nDY,H . K . M . N . M . L . H . B,arson
178,Lily（无念放松减压）,"@DarshunKendrick @JulieA109 @bear_sinequanon For primitive people with IQs below 70, violence, robbery, theft and arson are considered normal.  Modern people regard these acts as crimes.  Modern society relies on wisdom to compete.  People with low IQ hate the laws and all the rules of modern society.",,arson
179,JFK,"@ATLSportsWire Was someone really about to commit arson? Come on if you're gonna do it, do it right lol",Exclamation! USA,arson
180,Sp00ky Lugia,"@ruckrs Rucker’s billcams were so fire, they tried to charge my boy with arson 🥵🔥",,arson
181,rotten fungi ^_^,@vicsmells :(( i’m sorry vic that sucks. let’s commit arson on they house🥳,they/them ,arson
182,Hamailok Dizayee,Artwork highlighting domestic violence in Sulaimani taken down after arson attack https://t.co/2bqeuU9awq,UK,arson
183,Liz V(v_liz)✡✡✡,"Obama praises left-wing terrorism, violence and arson as the “new normal in America” https://t.co/WzKmT4UcnU",,arson
184,☆ arden ☆,@SOULSFlRE ask arson abt that,they/she | 14 | lesbian ,arson
185,Milind Thakur,Perfect  calling out someone is not bad...the cloak of deception Arson riot killings must be pulled off. https://t.co/VPc8ODQQby,,arson
186,✧･ﾟ:* 𝚟𝚊𝚖𝚙𝚜 #𝟷 𝚕𝚘𝚟𝚎𝚋𝚘𝚝,he/him and both hayden or arson is fine https://t.co/uw41C2hGAf,he/him,arson
187,Roc | Memento Mori,@dollliebabi i agree ty,they/he/she 🦴 15 🦴 white,arson
188,gray/san/nyu 生 jaehyun enjoyer,@QUlKTRIP I committed arson multiple times,ASIAN | HE/HIM | 20 Y/O,arson
189,Robert,"@tirantes_jojo @FoxNews Their convictions were WHAT? Did you read the article, kidnapping, burglary, child abuse, arson, etc. I get you want to help the impoverished, but that’s not the bulk of what’s coming over the boarder.",,arson
190,Bot The Woz,"I have been ordered to issue an apology by the Court of Law, in no instance should kidney removal be linked to arson",,arson
191,SaltOfLife,"#EndSARS those of you castigating the protesters and associating them with the arson and destructions by state sponsored hoodlums, we shall meet all of you after the 2023 polls.",Nigeria.,arson
192,satan,@Pixiebinch kick schools ass. burn it down. i don’t condone arson but sometimes you gotta let stuff burn.,sav ♡ ‘97  ★ she/her,arson
193,Lin Zabini | Sad Era,Jay i wanna commit arson,Crying for no reason,arson
194,ArticApe1130,My friend drew this! They don’t have Twitter but they have discord. There name on discord is (followers of arson 3#8697) THEY DID SO GOOD ON THIS https://t.co/uJAu0LVxGG,,arson
195,Black Coffee 🎃 💎,"Nothing like a Disney Magic tweet on a stream full of BLM Antifa riots hate looting arson, Biden selling out the country, FBI corruption, MSM corruption, etc etc.

Walt must be turning in his grave. https://t.co/W2e9LaGh59",Texas,arson
196,Punished Möses,@daintydom Nothing like arson to calm the nerves during a pandemic,,arson
